District,Year,Total Enrollment,Grade PK,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Other,% Other,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty
20,2011-12,47421,3013,3913,3811,3714,3513,3313,3163,3599,3463,3528,3671,3964,2405,2351,22471,0.473861784,24950,0.526138186,18754,0.395478785,1849,0.038991164,12337,0.260159016,178,0.003753611,14303,0.301617414,6445,0.135910258,11795,0.248729467,38944,0.821239531
20,2012-13,48425,2608,4028,4169,3787,3663,3521,3318,3456,3676,3584,3937,3784,2368,2526,23088,0.476778537,25337,0.523221493,19564,0.404006183,1773,0.036613319,12658,0.261393905,278,0.005740836,14152,0.292245746,6741,0.139204949,12144,0.250779569,38427,0.793536425
20,2013-14,49506,2333,4029,4290,4160,3852,3671,3532,3589,3494,3838,3879,3628,2640,2571,23574,0.476184696,25932,0.523815274,20585,0.415808171,1800,0.036359228,12966,0.261907637,371,0.007494041,13784,0.278430909,7095,0.143315956,12176,0.245949984,40092,0.809841216
20,2014-15,51080,2695,4181,4231,4220,4160,3869,3678,3790,3676,3581,3929,3872,2440,2758,24519,0.480011731,26561,0.519988239,21430,0.419537991,1698,0.033241972,13385,0.26203993,424,0.008300705,14143,0.2768794,7279,0.14250195,12580,0.246280342,41310,0.808731377
20,2015-16,52932,3778,3984,4362,4164,4157,4173,3836,3898,3834,3745,3646,3941,2718,2696,25545,0.482600331,27387,0.517399669,22481,0.424714714,1652,0.031209854,13835,0.261373073,499,0.00942719,14465,0.273275137,7427,0.140312105,12217,0.230805561,41781,0.789333463
21,2011-12,34964,1977,2083,2140,2151,1934,1959,1958,2649,2621,2748,3613,3995,2540,2596,17043,0.487444222,17921,0.512555778,8750,0.250257403,6310,0.180471346,8242,0.235728174,218,0.006234984,11444,0.327308089,5416,0.15490219,5471,0.156475231,26973,0.771450639
21,2012-13,34922,2089,2196,2155,2094,2173,1938,1913,2759,2702,2665,3320,3633,2649,2636,17030,0.487658203,17892,0.512341797,8731,0.250014305,5930,0.169807002,8407,0.240736499,273,0.007817422,11581,0.331624776,5658,0.16201821,5323,0.152425408,27752,0.794685304
21,2013-14,34943,1972,2163,2316,2121,2097,2086,1893,2740,2740,2752,3395,3237,2588,2843,16966,0.485533595,17977,0.514466405,8761,0.250722617,5669,0.162235647,8675,0.248261452,357,0.010216638,11481,0.32856366,5859,0.167673066,5195,0.148670688,27634,0.790830791
21,2014-15,35814,2350,2173,2228,2291,2115,2112,2023,2826,2793,2780,3637,3353,2440,2693,17358,0.484670788,18456,0.515329182,8843,0.24691461,5729,0.159965381,8988,0.2509633,455,0.012704529,11799,0.329452157,6006,0.167699784,5429,0.151588768,28398,0.792930126
21,2015-16,36565,2753,2199,2270,2233,2279,2086,2119,2901,2875,2854,3547,3425,2465,2559,17780,0.486257344,18785,0.513742626,8905,0.243538901,5643,0.154327914,9145,0.25010255,574,0.015698072,12298,0.33633256,6255,0.171065226,5567,0.152249426,28405,0.776835799
